iter	RMSE
0	0.5708967986
1	0.5691150976
2	0.5683234482
3	0.5676246167
4	0.5670422719
5	0.5667017769
6	0.5663637596
7	0.5659887652
8	0.5657892582
9	0.5654060055
10	0.5651898673
11	0.5648550643
12	0.5645610321
13	0.5643525028
14	0.5640610415
15	0.5638889607
16	0.5637543222
17	0.563646837
18	0.5635006733
19	0.5634350023
20	0.5631561166
21	0.5628822171
22	0.5625755481
23	0.562458561
24	0.5621673133
25	0.5618976882
26	0.5616584724
27	0.5615102618
28	0.5614083808
29	0.5611384803
30	0.5610820968
31	0.5609633773
32	0.5606044038
33	0.5605073651
34	0.5603470255
35	0.5601333812
36	0.5599844121
37	0.5597432846
38	0.5595911431
39	0.5594722569
40	0.5592772255
41	0.5591152826
42	0.5590122927
43	0.5589042322
44	0.5585857605
45	0.558522357
46	0.5584288824
47	0.5582920077
48	0.5582176077
49	0.5581127685
50	0.5580288161
51	0.5578905389
52	0.5576917656
53	0.5574144563
54	0.5573578736
55	0.5572538996
56	0.5571580569
57	0.5569886616
58	0.5568865987
59	0.5568096177
60	0.5567205991
61	0.5566476444
62	0.5565383016
63	0.5564651962
64	0.556422744
65	0.5563267964
66	0.5562423565
67	0.5561633773
68	0.5560245969
69	0.555950851
70	0.5559102231
71	0.5558674365
72	0.5558128621
73	0.5557408118
74	0.5556180333
75	0.5555094348
76	0.5554559353
77	0.5554157516
78	0.5553573506
79	0.5553013442
80	0.5552419931
81	0.5551758521
82	0.555100061
83	0.5550636644
84	0.5550071341
85	0.5549308882
86	0.5548621144
87	0.5547688718
88	0.5546501377
89	0.5545739453
90	0.5545328535
91	0.554476328
92	0.5544331619
93	0.55431991
94	0.5542594084
95	0.5541777462
96	0.5541001824
97	0.5540709713
98	0.5539872404
99	0.5538937612
