iter	Passed	Remaining
0	103	25894
1	201	24933
2	291	23980
3	387	23808
4	482	23632
5	590	24033
6	691	24012
7	781	23643
8	879	23554
9	974	23396
10	1063	23097
11	1155	22909
12	1246	22728
13	1340	22590
14	1434	22477
15	1532	22412
16	1622	22237
17	1717	22135
18	1813	22044
19	1910	21974
20	2004	21861
21	2096	21722
22	2190	21618
23	2289	21557
24	2379	21417
25	2480	21366
26	2577	21285
27	2663	21115
28	2757	21013
29	2884	21155
30	3019	21332
31	3116	21232
32	3212	21126
33	3302	20979
34	3390	20830
35	3488	20739
36	3588	20656
37	3681	20539
38	3770	20399
39	3869	20316
40	3963	20206
41	4059	20105
42	4151	19987
43	4251	19906
44	4347	19806
45	4443	19704
46	4535	19589
47	4634	19502
48	4729	19398
49	4830	19323
50	4931	19242
51	5025	19136
52	5122	19040
53	5224	18963
54	5319	18858
55	5418	18771
56	5514	18672
57	5619	18602
58	5720	18517
59	5815	18415
60	5925	18360
61	6015	18240
62	6107	18128
63	6199	18017
64	6293	17911
65	6394	17827
66	6485	17713
67	6580	17611
68	6681	17526
69	6785	17447
70	6883	17354
71	6979	17255
72	7077	17160
73	7172	17058
74	7269	16963
75	7361	16854
76	7452	16744
77	7548	16644
78	7649	16558
79	7750	16469
80	7838	16355
81	7935	16258
82	8029	16155
83	8130	16067
84	8218	15954
85	8307	15842
86	8404	15745
87	8498	15645
88	8600	15557
89	8699	15465
90	8795	15367
91	8890	15268
92	8981	15162
93	9077	15065
94	9179	14976
95	9280	14887
96	9381	14797
97	9485	14712
98	9580	14612
99	9682	14523
100	9784	14433
101	9887	14346
102	9980	14244
103	10080	14151
104	10180	14058
105	10279	13964
106	10376	13867
107	10468	13763
108	10563	13664
109	10662	13569
110	10760	13474
111	10856	13376
112	10955	13282
113	11053	13186
114	11149	13088
115	11249	12995
116	11359	12913
117	11453	12811
118	11548	12713
119	11672	12645
120	11779	12558
121	11879	12464
122	11987	12376
123	12093	12288
124	12230	12230
125	12338	12142
126	12459	12067
127	12568	11979
128	12675	11889
129	12774	11791
130	12875	11696
131	12974	11598
132	13083	11509
133	13179	11409
134	13279	11312
135	13392	11226
